0000.00-0000,J GRADE 190 PROOF INDUSTRIAL ETHANOL  J GRADE 190 PROOF INDUSTRIAL ETHANOL 
1103.13-0000,Corn meal POLENTA PRECOOKED ITALY
1103.13-0000,Corn meal MAIZE GRITSSample 4 INDIA
1103.19-3000,Corn meal MAIZE GRITSSample 5 INDIA
1103.19-9000,Rice meal HMWE MYANMAR
1103.19-9000,Sweet Corn podwer  PO11001  NEWZLAND
1104.12-0000,Sweet corn powder Sweet Corn Powder &Sugar Blend NEWZLND
1104.22-0000,RED TRACTOR OMEGA 3 INSTANT OATS AUSTRAL
1104.22-0000,Hulled oats STEAMED OAT PR.CHNA
1104.22-0000,Hulled oat AUSTRAL
1104.22-0000,Hulled oat STEAMED OAT GROATS AUSTRAL
1104.22-0000,Other worked grains of oats CANADA
1104.23-0000,Other worked grains of oats NUDE OATS CANADA
1104.23-0000,Corn grits Maize cornflaking grits T2 Euro NETHERL
1104.23-0000,Corn grits MAIZE GRITSsample3 INDIA
1104.23-0000,Corn grits MAIZE GRITSsample2 INDIA
1104.29-9000,Corn grits MAIZE GRITSsample 1 INDIA
1104.29-9000,Hulled quinoa  P.PERU
1104.29-9000,Hulled quinoa P.PERU
1104.29-9000,Hulled quinoa  P.PERU
1104.29-9000,Buckwheat
1104.29-9000,Hulled quinoa TOASTED WHITE QUINOA
1104.29-9000,Hulled quinoa Roasted Red Quinoa  P.PERU
1104.29-9000,Hulled quinoa  P.PERU
1104.29-9000,Hulled quinoa CANADIAN QUINOA CANADA
1104.29-9000,Hulled quinoa  ROASTED RED QUINOA
1104.29-9000,Hulled quinoa P00714 P.PERU
1104.29-9000,Hulled quinoa P00814 P.PERU
1104.29-9000,Hulled quinoa Red quinoa seed U.S.A.
1106.10-0000,Hulled quinoa  U.S.A
1106.10-0000,COWPEA POWDER  MYANMAR
1106.20-9000,Mung bean powder  MYANMAR
1106.30-0000,CASSAVA POWDER  TEPUNG GAPLEK  INDNSIA
1106.30-0000,Pineapple powder  THAILND
1106.30-0000,Acai palm Powder  Organic acai powder  U.S.A
1107.20-9000,Acai berry powder  Freeze dried Acai Organic high solids powder  U.S.A
1108.14-9000,Malt
1108.14-9000,Manioccassava starch  TAPIOCA STARCH  VIETNAM
1204.00-0000,Manioccassava starch  NATIVE TAPIOCA STARCH
1207.99-9000,EYE PILLOW
1207.99-9000,SOME BEACH FAR AWAY26cm9cm
1208.90-0000,Chia seeds CHIA SEED PARAGUY/ARGENTN
1209.29-1000,Chia seed BOLIVIA
1209.91-5000,Perilla seed meal PERILLA SEED POWDER CHINA
1209.99-4000,Lupine seed  Bulk  AUSTRAL
1209.99-4000,Tomato seeds Petomato
1209.99-4000,Lawn seed HJK2 HJK2 R.KOREA
1209.99-4000,Lawn seed HJC1
1209.99-4000,Lawn seed HJA  R.KOREA
1211.20-1399,Lawn seed  HJG  R.KOREA
1211.20-2110,Lawn seed PLAAH 
1211.90-9070,Red ginseng   R.KOREA
1211.90-9099,White ginseng powder
1211.90-9099,Peppermint 549862 WR LL PEPPERMINT INFUSION U.K
1211.90-9099,ROSEMARY LEAVES dried   NET WT/PESO NETO 6 OZ 170g
1212.29-9099,OREGANO LEAVES  TURKEY
1214.90-9090,Chamomile flower
1302.19-9010,Seaweed Seaweed powder GERMANY
1302.19-9099,Hay  REED CANARY GRASS HAY  U.S.A
1302.19-9099,Aloe vera sap powder ALOE VERA WL SD POWDER 1001 ORGANIC MEXICO
1302.19-9099,Peanut sprouts extract  R.KOREA
1302.19-9099,Platycodon grandiflorum extract Platycodon root extract
1302.19-9099,Mushroom extract GLUNP R.KOREA
1302.19-9099,Vegetable extract   
1302.19-9099,Compound extract      R.KOREA
1302.19-9099,Compound extracts 
1302.19-9099,Other vegetable extracts OLEUM MAC. ALLII SATIVI E BULB. 11 GERMANY
1302.19-9099,Vegetable extract ALLIVET POLAND
1302.19-9099,Vegetable extract elaVIDA  40% SPAIN
1302.32-0000,Vegetable extract  elaVida tm 15%  SPAIN
1404.90-9000,Chaga mushroom extract Siberian Chaga dried extract RUSSIAN
1404.90-9000,Guar gum DU100 R.KOREA
1404.90-9000,kenaf
1404.90-9000,Coconut shells
1404.90-9000,Ramie stem powder  GRC  [20~80]  PR.CHNA
1507.90-1010,Casaba stem
1509.10-0000,Cassaba stem
1509.10-0000,Soyabean oil
1513.19-1000,Olive oil
1515.19-0000,Olive oil
1516.20-2020,Coconut Oil
1516.20-2090,Linseed Oil  IRELAND
1517.90-2000,Hydrogenated palm oil  GTS  PR.CHNA
1517.90-9000,Reesterified palm kernel oil MALAYA
1517.90-9000,Shortening  SUJI CREAM3  SNGAPOR
1517.90-9000,Vegetable oil preparation  Oilo Verde al Limone  ITALY
1517.90-9000,Fish oil preparation
1517.90-9000,Algal oil preparation LIFES DHA O2412O100 U.S.A
1517.90-9000,Vegetable oil preparation  SALUTE SANTE BASIL GRAPESEED OIL  U.S.A
1517.90-9000,Vegetable oil preparation  Salute Sante Rosemary Grapeseed Oil  U.S.A
1517.90-9000,Vegetable oil preparation  SALUTE SANTE ROASTED GARLIC GRAPESEED OIL  U.S.A
1601.00-1000,Fish oil preparation  EPA1T1600  PERU
1602.32-9000,Edible oil preparations WILD AND WHOLE ALASKAN SALMON OIL U.S.A
1602.41-9000,Sausage CHICKEN VIENNA SAUSAGE U.S.A
1602.42-9000,Chicken preparation CHICKEN KORMA U.S.A
1602.50-1000,Ham preparations KS Pork Stips Asian BBQ Seasoning
1602.50-9000,Pork preparation SMOKED PULLED PORK U.S.A
1603.00-3000,Beef preparation Bone in chunk rib soup 4.5cm THAILND
1603.00-3000,Beef preparation KS STEAK STRIP NEWZLND
1604.11-9000,Fish extract powder SH761 PR.CHNA
1604.11-9000,Fish extract KUNEN KATSUO EXTRACT JAPAN
1604.19-9090,Prepared salmon Hot smoked atlantic salmon NORWAY
1604.20-4090,Prepared salmon  Marinated and smoked Atlantic salmon in slice
1604.20-9000,Fish preparation GOLDEN FISH STICK VIETNAM
1604.20-9000,Fish cake
1605.21-9000,Fish preparation ROCKY SHRIMP BALL PR.CHNA
1605.21-9000,Fish preparation NET SWIMMING CRAB ROLL VIETNAM
1605.21-9000,Shrimp preparation Shrimp Paste Powder T3 THAILND
1605.52-9000,Fish preparation NET SHRIMP ROLL VIETNAM
1605.54-2099,Shrimp
1605.54-2099,Scallop preparations NET SCALLOP ROLL VIETNAM
1605.55-9000,Squid preparation
1701.14-2000,Squid preparation FROZEN SEAFOOD SKEWER THAILND
1701.14-2000,Frozen boiled baby octopus sushi   
1701.99-0000,6g/PC x 20PC/TRAY x 30TRAYS/CT
1701.99-0000,Raw cane sugar ARGENTN
1701.99-0000,Raw cane sugar THAILND
1701.99-0000,Other sugar Organic cane sugar
1701.99-0000,Other sugar LOT 13 189 1 GA A600
1701.99-0000,Other sugar LOT 13 190 1 GA A600
1701.99-0000,Other sugar
1701.99-0000,Sugar  Refined white sugar  THAILND
1701.99-0000,Other sugar  BRAZIL
1701.99-0000,Other sugar  PURASWEET 500  MALAYA
1701.99-0000,Other sugar  ORGANIC SUGAR  COLOMBI
1701.99-0000,Other sugar organic raw cane sugar PARAGUY
1702.90-1000,Other sugar ORGANIC CANE SUGAR ARGENTN
1702.90-9000,Sugar    R.KOREA
1702.90-9000,Other sugar BRAZIL
1702.90-9000,Artificial honey ROYAL HEALTH HONEY POWDER U.S.A
1702.90-9000,Sugar syrup  FRUIT UP  SPAIN
1704.90-2010,Other sugar syrup R.KOREA
1704.90-2090,Sugar syrup  DEIONIZED CLARIFIED PINEAPPLE JUICE CONCENTRATEASEPTIC
1704.90-2090,Sugar syrup  DEIONIZED CLARIFIED PINEAPPLE JUICE CONCENTRATEASEPTIC
1704.90-2090,Drops EXTREME SOUR HARD CANDY U.S.A.
1704.90-2090,Sugar confectionery JILLIAN MIX
1704.90-2090,Sugar confectionery 3D JUNGLE PALS U.S.A
1704.90-2090,Sugar confectionery JILLIAN MIXWith mango flavour UKRAIN
1704.90-2090,Candies  AIR HEADS 90 BARS  U.S.A
1704.90-9000,Candy JUNGLE HARD CANDY PR.CHNA
1802.00-1000,Candy SAFARI TWIRL W HARD CANDY PR.CHNA
1805.00-0000,Candy SAFARI RING POPS PR.CHNA
1806.32-1000,Sugar confectionary CROCANTE GEORGALOS ARGENTN
1806.90-1000,Cocoa shells  CBS  INDNSIA
1806.90-1000,Cocoa powder  CACAO TOGO  ITALY
